event_id,award_name,team_name,result_source_url,video_url,video_source_type,status,updated_at
nippon_domatsuri_2026,どまつり大賞,夜宵,https://x.com/domatsuri/status/2094028086161588298?s=20,https://youtu.be/urjiJQ78q7M?si=9RdoRQfT397eHnNL,OrganizerOfficial,Approved,2026-09-21T10:30:00+09:00
nishi_yosakoi_soran_fureai_festival_2026,西区YOSAKOIソーラン大賞,新琴似天舞龍神,https://yosakoi-event-w-merumaga.blogspot.com/2026/08/589530yosakoi.html,https://www.youtube.com/watch?v=bjfMNLm2HGs,General,Approved,2026-09-25T10:03:48+09:00
super_yosakoi_harajuku_2026,元氣祭大賞,ほにや,https://www.super-yosakoi.tokyo/office-info/post-20245860/,https://www.youtube.com/watch?v=34XM43kIAWY,TeamOfficial,Approved,2026-09-25T13:03:48+09:00
